Type	UniqueName	ParentName	ServerType	ServerName	PointNameA	PointValueA	PointNameB	PointValueB	DirectionName	DirectionValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark								
BackImage	表示盤										0	0														Image/BackImage/TH66_Enohara-Inspection-Indicater.png									
Image	1RA_G		信号機表示灯	江ノ原信号場上り場内1RA							520	693											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"G,Y,R,PG,PYは灯色"								
Image	1RB_G		信号機表示灯	江ノ原信号場上り場内1RB							520	712											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	1RC_G		信号機表示灯	江ノ原信号場上り場内1RC							528	730											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	2R_G		信号機表示灯	江ノ原信号場上り出発2R							1164	662											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	3L_G		信号機表示灯	江ノ原信号場下り出発3L							1273	602											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	4L_G		信号機表示灯	江ノ原信号場下り出発4L							1273	702											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	5LD_G		信号機表示灯	江ノ原信号場下り場内5LD							1273	820											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	5LE_G		信号機表示灯	江ノ原信号場下り場内5LE							1265	838											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
Image	11R_Y		信号機表示灯								816	669											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	12L_Y		信号機表示灯								880	671											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	13R_Y		信号機表示灯	江ノ原信号場入換13R							1146	661											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	14R_Y		信号機表示灯								1240	601											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	15L_Y		信号機表示灯	江ノ原信号場入換15L							1291	603											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	15LZ_Y		信号機表示灯								1313	602											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	16L_Y		信号機表示灯	江ノ原信号場入換16L							1291	703											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
Image	16LZ_Y		信号機表示灯								1313	702											"0,1"	0		"Image/Light/N.png,Image/Light/Y.png"									
	21R_Y																																		
	22R_Y																																		
	23R_Y																																		
	24R_Y																																		
	25R_Y																																		
	26R_Y																																		
	27R_Y																																		
	28R_Y																																		
	29R_Y																																		
	31R_Y																																		
	32R_Y																																		
	33R_Y																																		
	34L_Y																																		
	35L_Y																																		
	36L_Y																																		
	37L_Y																																		
	38L_Y																																		
	39L_Y																																		
	40L_Y																																		
	41L_Y																																		
	41LZ_Y																																		
	42L_Y																																		
	42LZ_Y																																		
	43R_Y																																		
	43RZ_Y																																		
Image	TH67_1RT_1		軌道回路表示灯	TH67_1RT							52	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"	0度※以下0度省略								
Image	TH67_32T_W32N_1		軌道回路表示灯	TH67_32T	TH67_W32	N					77	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_32T_W32N_2		軌道回路表示灯	TH67_32T	TH67_W32	N					107	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_32T_W32R_1		軌道回路表示灯	TH67_32T	TH67_W32	R					77	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_32T_W32R_2		軌道回路表示灯	TH67_32T	TH67_W32	R					99	702											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度								
Image	TH67_1RAT_1		軌道回路表示灯	TH67_1RAT							131	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_1RAT_2		軌道回路表示灯	TH67_1RAT							213	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_1RBT_1		軌道回路表示灯	TH67_1RBT							131	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_1RBT_2		軌道回路表示灯	TH67_1RBT							213	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_4LT_1		軌道回路表示灯	TH67_4LT							131	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_4LT_2		軌道回路表示灯	TH67_4LT							213	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_5LT_1		軌道回路表示灯	TH67_5LT							131	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_5LT_2		軌道回路表示灯	TH67_5LT							213	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33イT_W33イN_1		軌道回路表示灯	TH67_33イT	TH67_W33	N					237	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33イT_W33イN_2		軌道回路表示灯	TH67_33イT	TH67_W33	N					295	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33イT_W33イR_1		軌道回路表示灯	TH67_33イT	TH67_W33	R					237	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33イT_W33イR_2		軌道回路表示灯	TH67_33イT	TH67_W33	R					277	702											"0,1,2"	0		"Image/Light/112N.png,Image/Light/112Y.png,Image/Light/112R.png"	112度								
Image	TH67_33ロT_W33ロN_1		軌道回路表示灯	TH67_33ロT	TH67_W33	N					237	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33ロT_W33ロN_2		軌道回路表示灯	TH67_33ロT	TH67_W33	N					295	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_33ロT_W33ロR_1		軌道回路表示灯	TH67_33ロT	TH67_W33	R					287	727											"0,1,2"	0		"Image/Light/112N.png,Image/Light/112Y.png,Image/Light/112R.png"	112度								
Image	TH67_33ロT_W33ロR_2		軌道回路表示灯	TH67_33ロT	TH67_W33	R					295	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_34T_W34N_1		軌道回路表示灯	TH67_34T	TH67_W34	N					237	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_34T_W34N_2		軌道回路表示灯	TH67_34T	TH67_W34	N					295	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_34T_W34R_1		軌道回路表示灯	TH67_34T	TH67_W34	R					237	867											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_34T_W34R_2		軌道回路表示灯	TH67_34T	TH67_W34	R					277	847											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度								
Image	TH67_34T_W34R_3		軌道回路表示灯	TH67_34T	TH67_W34	R					295	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35イT_W35イN_1		軌道回路表示灯	TH67_35イT	TH67_W35	N					315	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35イT_W35イN_2		軌道回路表示灯	TH67_35イT	TH67_W35	N					345	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35イT_W35イR_1		軌道回路表示灯	TH67_35イT	TH67_W35	R					315	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35イT_W35イR_2		軌道回路表示灯	TH67_35イT	TH67_W35	R					327	787											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度								
Image	TH67_35ロT_W35ロN_1		軌道回路表示灯	TH67_35ロT	TH67_W35	N					315	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35ロT_W35ロN_2		軌道回路表示灯	TH67_35ロT	TH67_W35	N					345	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_35ロT_W35ロR_1		軌道回路表示灯	TH67_35ロT	TH67_W35	R					337	762											"0,1,2"	0		"Image/Light/68N.png,Image/Light/68Y.png,Image/Light/68R.png"	68度								
Image	TH67_35ロT_W35ロR_2		軌道回路表示灯	TH67_35ロT	TH67_W35	R					345	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_36イT_1		軌道回路表示灯	TH67_36イT							370	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH67_SST_1		軌道回路表示灯	TH67_SST							400	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	136T_1		軌道回路表示灯	上り136T							430	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	142T_1		軌道回路表示灯	上り142T							460	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	146T_1		軌道回路表示灯	上り146T							490	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_1RT_1		軌道回路表示灯	TH66S_1RT							554	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_1RT_2		軌道回路表示灯	TH66S_1RT							652	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_1RT_3		軌道回路表示灯	TH66S_1RT							751	747											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_5LET_1		軌道回路表示灯	TH66S_5LET							583	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_5LET_2		軌道回路表示灯	TH66S_5LET							707	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_5LET_3		軌道回路表示灯	TH66S_5LET							831	807											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_5LDT_1		軌道回路表示灯	TH66S_5LDT							578	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_5LDT_2		軌道回路表示灯	TH66S_5LDT							786	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_51イT_W51イ_N_1		軌道回路表示灯	TH66S_51イT	TH66S_W51	N					814	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_51イT_W51イ_N_2		軌道回路表示灯	TH66S_51イT	TH66S_W51	N					880	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
Image	TH66S_51イT_W51イ_R_1		軌道回路表示灯	TH66S_51イT	TH66S_W51	R					814	687											"0,1,2"	0		"Image/Light/0N.png,Image/Light/0Y.png,Image/Light/0R.png"									
