Type	UniqueName	ParentName	ServerType	ServerName	PointNameA	PointValueA	PointNameB	PointValueB	DirectionName	DirectionValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark								
BackImage	連動盤										0	0														Image/BackImage/TH67_Shin-Nozaki.png									
Image	Clock_Base										1650	78	79	110												Image/Clock/Clock_Border.png									
ClockImage	Clock_Meter	Clock_Base									6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"									
Image	Hook										1661	10														Image/Hook/Hook_Base.png									
LeverImage	1R		物理てこ	TH67_1							250	266										1R	"0,1"	0	Image/Lever/LeverBase_NR.png	"Image/Lever/Lever_Red_N.png,Image/Lever/Lever_Red_R.png"	0代X=てこ赤(X)N(X)　例：1R=てこ赤NR								
Image	1RA_G		信号機表示灯	新野崎上り場内1RA							308	254											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"	"G,Y,R,PG,PYは灯色"								
Image	1RB_G		信号機表示灯	新野崎上り場内1RB							316	272											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	1R_Label	1R									14	20	11	11				1	10	Transparent	#FFBCBCBC	1R													
LeverImage	2L		物理てこ	TH67_2							562	326										2L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
Image	2L_G		信号機表示灯	新野崎下り出発2L							526	362											"0,1"	0		"Image/Light/N.png,Image/Light/G.png"									
TextBlock	2L_Label	2L									14	20	11	11				2	10	Transparent	#FFBCBCBC	2L													
LeverImage	3L		物理てこ	TH67_3							562	440										3L	"-1,0"	0	Image/Lever/LeverBase_LN.png	"Image/Lever/Lever_Red_L.png,Image/Lever/Lever_Red_N.png"									
