Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark							
BackImage	連動盤					0	0														Image/BackImage/W02_Komano.png								
Image	Clock_Base					1400	78	79	110												Image/Clock/Clock_Border.png								
ClockImage	Clock_Meter		Clock_Base			6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"								
Image	Hook					1411	10														Image/Hook/Hook_Base.png								
	1R					653	462															0代X=てこ赤(X)N(X)　例：1R=てこ赤NR							
	2L					865	522																						
	3L					1092	342																						
	4L					1092	402																						
	5R					1290	462																						
	6L					1611	522																						
	7R					1965	282																						
	8R					1965	462																						
	9L					2320	522																						
	11R					713	522															10代X=てこ緑(X)N(X)　例：11R=てこ緑NR							
	12L					923	522																						
	13R					1232	462																						
	14L					1669	522																						
	15L					1669	282																						
	24R					1446	282																						
	25R					1446	342																						
	26R					1446	402																						
	27R					807	282																						
	28R					807	342																						
	29R					807	402																						
	34L					1150	282																						
	35L					1150	342																						
	36L					1150	402																						
	A					1921	295																						
	B					1921	475																						
	C					1921	535																						
	D5					1402	355																						
	D6					1402	415																						
	E					1135	475																						
	F					1216	535																						
	S					2300	475																						
	T					510	535																						
	4					1402	295																						
	7					569	295																						
	8					569	335																						
	9					569	415																						
	1RD_G					717	442															"Y,Gは灯色"							
	1RE_G					725	460																						
	2L_G					818	558																						
	3L_G					1048	396																						
	4L_G					1048	456																						
	5RA_G					1367	450																						
	5RB_G					1375	468																						
	6L_G					1564	558																						
	7R_G					2031	325																						
	8R_G					2031	461																						
	9LB_G					2286	558																						
	9LC_G					2278	576																						
	11R_Y					772	557																						
	12L_Y					836	559																						
	13R_Y					1357	467																						
	14L_Y					1582	559																						
	15L_Y					1640	281																						
	24R_Y					1505	287																						
	25R_Y					1505	340																						
	26R_Y					1505	400																						
	27R_Y					866	287																						
	28R_Y					866	347																						
	29R_Y					866	407																						
	34L_Y					1055	289																						
	35L_Y					1055	379																						
	36L_Y					1055	439																						
	P41					660	64																						
	P41_PG					658	45																						
	P41_PY					692	45																						
	P42					728	64																						
	P42_PG					726	45																						
	P42_PY					760	45																						
	P43					796	64																						
	P43_PG					794	45																						
	P43_PY					828	45																						
	P44					864	64																						
	P44_PG					862	45																						
	P44_PY					896	45																						
	P45					932	64																						
	P45_PG					930	45																						
	P45_PY					964	45																						
	P46					1000	64																						
	P46_PG					998	45																						
	P46_PY					1032	45																						
	P47					1068	64																						
	P47_PG					1066	45																						
	P47_PY					1100	45																						
	P48					1136	64																						
	P48_PG					1134	45																						
	P48_PY					1168	45																						
	P49					2115	64																						
	P49_PG					2113	45																						
	P49_PY					2147	45																						
	P50					2183	64																						
	P50_PG					2181	45																						
	P50_PY					2215	45																						
	駅扱切替					2367	64																						
	駅扱切替_PG					2399	45																						
	駅扱切替_PY					2365	45																						
	TH76_5LAT_1					126	485															以下ラインライト。特記なき限り0度。							
	TH76_5LAT_2					208	485																						
	TH76_5LBT_1					126	605																						
	TH76_5LBT_2					208	605																						
	TH76_5LCT_1					100	665																						
	TH76_5LCT_2					182	665																						
	TH76_5LDT_1					100	725																						
	TH76_5LDT_2					182	725																						
	TH76_21イT_P21イN_1					210	665																						
	TH76_21イT_P21イN_2					249	665																						
	TH76_21イT_P21イN_3					274	640															68							
	TH76_21イT_P21イR_1					210	665																						
	TH76_21イT_P21イR_2					232	680															112							
	TH76_21ロT_P21ロN_1					210	725																						
	TH76_21ロT_P21ロN_2					290	725																						
	TH76_21ロT_P21ロN_3					330	661															68							
	TH76_21ロT_P21ロR_1					242	705															112							
	TH76_21ロT_P21ロR_2					290	725																						
	TH76_21ロT_P21ロR_3					330	661															68							
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
