Type	UniqueName	ServerName	ParentName	PointName	PointValue	X	Y	Width	Height	Angle	AngleOriginX	AngleOriginY	Text	FontSize	BackColor	TextColor	ClickEventName	ImagePattern	ImageIndex	BaseImagePath	ImagePath	Remark								
BackImage	連動盤					0	0														Image/BackImage/W12_大道寺駅.png									
Image	Clock_Base					1400	78	79	110												Image/Clock/Clock_Border.png									
ClockImage	Clock_Meter		Clock_Base			6	37	63	63											Image/Clock/Clock_Base.png	"Image/Clock/Clock_HourHand.png,Image/Clock/Clock_MinuteHand.png,Image/Clock/Clock_SecondHand.png,Image/Clock/Clock_Cover.png"									
Image	Hook					1411	10														Image/Hook/Hook_Base.png									
LeverImage	1R					303	311										1R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"	0代X=てこ赤(X)N(X)　例：1R=てこ赤NR								
LeverImage	2R					652	311										2R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	2RZ					604	311										2RZ	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_桃_N.png,Image/Lever/てこ_桃_R.png"	0代XZ=てこ桃(X)N(X)Z　例：2RZ=てこ桃NR								
LeverImage	3R					652	371										3R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	3RZ					604	371										3RZ	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_桃_N.png,Image/Lever/てこ_桃_R.png"									
LeverImage	4R					652	431										4R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	4RZ					604	431										4RZ	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_桃_N.png,Image/Lever/てこ_桃_R.png"									
LeverImage	5L					710	431										5L	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_赤_L.png,Image/Lever/てこ_赤_N.png"									
LeverImage	6L					710	545										6L	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_赤_L.png,Image/Lever/てこ_赤_N.png"									
LeverImage	7R					1122	311										7R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	8R					1122	371										8R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	9R					1102	431										9R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	10R					1102	545										10R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_赤_N.png,Image/Lever/てこ_赤_R.png"									
LeverImage	11L					1160	431										11L	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_赤_L.png,Image/Lever/てこ_赤_N.png"									
LeverImage	11LZ					1208	431										11LZ	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_桃_L.png,Image/Lever/てこ_桃_N.png"									
LeverImage	12L					1160	545										12L	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_赤_L.png,Image/Lever/てこ_赤_N.png"									
LeverImage	12LZ					1208	545										12LZ	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_桃_L.png,Image/Lever/てこ_桃_N.png"									
LeverImage	13L					2366	311										13L	"-1,0"	0	Image/Lever/てこBase_LN.png	"Image/Lever/てこ_赤_L.png,Image/Lever/てこ_赤_N.png"									
LeverImage	14L					2431	311										14L	"-1,1"	-1	Image/Lever/てこBase_LR.png	"Image/Lever/てこ_白_L.png,Image/Lever/てこ_白_R.png"	14Lは方向てこ　白LR								
LeverImage	21R					1064	311										21R	"0,1"	0	Image/Lever/てこBase_NR.png	"Image/Lever/てこ_緑_N.png,Image/Lever/てこ_緑_R.png"	20代X=てこ緑(X)N(X)　例：21R=てこ緑NR								
